id,title,year,venue,primary_url,category,evidence_depth
tiger,Recommender Systems with Generative Retrieval,2023,paper,https://arxiv.org/abs/2305.05065,LLM4Rec,L0 primary page/abstract/documentation inspected
lcrec,Adapting Large Language Models by Integrating Collaborative Semantics for Recommendation,2023/2024,paper,https://arxiv.org/abs/2311.09049,LLM4Rec,L0 primary page/abstract/documentation inspected
minionerec,MiniOneRec: An Open-Source Framework for Scaling Generative Recommendation,2025,preprint/project,https://arxiv.org/html/2510.24431v1,LLM4Rec,L0 primary page/abstract/documentation inspected
openonerec,OpenOneRec Technical Report,2025,preprint/project,https://arxiv.org/html/2512.24762v2,LLM4Rec,L0 primary page/abstract/documentation inspected
genrec,GenRec: An LLM-Backed Recommendation Ranker at Netflix,2026,preprint,https://arxiv.org/html/2608.10257,LLM4Rec,L0+ selected HTML methods inspected; not full reproduction
recast,ReCast: Recasting Learning Signals for Reinforcement Learning in Generative Recommendation,2026,preprint,https://arxiv.org/html/2604.22169v1,RL,L0+ selected HTML methods inspected; not full reproduction
dealrec,Data-efficient Fine-tuning for LLM-based Recommendation,2024,SIGIR,https://arxiv.org/html/2401.17197v2,selection,L0 primary page/abstract/documentation inspected
goracs,GORACS: Group-level Optimal Transport-guided Coreset Selection for LLM-based Recommender Systems,2025,KDD,https://arxiv.org/html/2506.04015v1,selection,L0 primary page/abstract/documentation inspected
morec,A Data-Centric Multi-Objective Learning Framework for Responsible Recommendation Systems,2024,WWW,https://arxiv.org/html/2310.13260v1,multiobjective,L0+ selected HTML methods inspected; not full reproduction
minirec,MiniRec: Data-Efficient Reinforcement Learning for LLM-based Recommendation,2026,preprint,https://arxiv.org/html/2602.04278v1,RL,L0+ selected HTML methods inspected; not full reproduction
capt,Data-Efficient Adaptation to Contextual Shifts in LLM-based Conversational Recommendation,2026,Findings of ACL,https://aclanthology.org/2026.findings-acl.1114/,selection,L0 primary page/abstract/documentation inspected
less,LESS: Selecting Influential Data for Targeted Instruction Tuning,2024,ICML,https://proceedings.mlr.press/v235/xia24c.html,selection,L0 primary page/abstract/documentation inspected
