0 uniform [0.7029488682746887, 0.7053327560424805] 0.04
0 scalar [0.6901130676269531, 0.7327075004577637] 0.13
0 frontier [0.6939550042152405, 0.7231850624084473] 0.2
0 atoms_frontier [0.6939550042152405, 0.7231850624084473] 0.36
1 uniform [0.6951085925102234, 0.6647994518280029] 0.02
1 scalar [0.7182226181030273, 0.6673789620399475] 0.14
1 frontier [0.7193194031715393, 0.6638650298118591] 0.2
1 atoms_frontier [0.7193194031715393, 0.6638650298118591] 0.35
2 uniform [0.7270059585571289, 0.7001726031303406] 0.02
2 scalar [0.766996443271637, 0.694291889667511] 0.14
2 frontier [0.7456941604614258, 0.7029704451560974] 0.2
2 atoms_frontier [0.7456941604614258, 0.7029704451560974] 0.35
